bloque_tiempo,hora_post_evento,zona_origen,zona_destino,tipo_destino,nuevos_desplazados_media,ic95_inferior,ic95_superior
4,24,Z3,Z1,otra_zona,320.8333333333333,293.3333333333333,351.6666666666667
4,24,Z3,Z2,otra_zona,320.0,292.5,349.1666666666667
4,24,Z3,Z3,refugio_oficial,2837.5,2752.5,2919.208333333333
4,24,Z3,Z4,otra_zona,336.6666666666667,310.8333333333333,361.6666666666667
4,24,Z3,Z5,otra_zona,296.6666666666667,265.8333333333333,327.5
4,24,Z4,Z1,otra_zona,418.3333333333333,375.8333333333333,460.0208333333332
4,24,Z4,Z2,otra_zona,417.5,384.14583333333337,450.8541666666665
4,24,Z4,Z3,otra_zona,429.1666666666667,394.1666666666667,468.3333333333333
4,24,Z4,Z4,refugio_oficial,910.0,864.1666666666666,961.6666666666666
4,24,Z4,Z5,otra_zona,416.6666666666667,380.8125,459.1666666666667
4,24,Z5,Z1,otra_zona,231.66666666666666,206.66666666666666,257.5
4,24,Z5,Z2,otra_zona,213.33333333333334,195.0,232.5
4,24,Z5,Z3,otra_zona,219.16666666666666,190.0,249.1874999999999
4,24,Z5,Z4,otra_zona,203.33333333333334,175.83333333333334,230.83333333333334
4,24,Z5,Z5,refugio_oficial,3126.6666666666665,3031.6666666666665,3217.520833333333
5,30,Z1,Z1,refugio_oficial,1638.3333333333333,1564.1666666666667,1712.5
5,30,Z1,Z2,otra_zona,300.8333333333333,268.3333333333333,333.3541666666665
5,30,Z1,Z3,otra_zona,292.5,260.0,324.1666666666667
5,30,Z1,Z4,otra_zona,280.0,250.8125,310.0
5,30,Z1,Z5,otra_zona,309.1666666666667,275.0,345.0
5,30,Z2,Z1,otra_zona,277.5,248.3125,309.1666666666667
5,30,Z2,Z2,refugio_oficial,779.1666666666666,730.8333333333334,830.0
5,30,Z2,Z3,otra_zona,267.5,240.0,298.3333333333333
5,30,Z2,Z4,otra_zona,286.6666666666667,258.3333333333333,315.8333333333333
5,30,Z2,Z5,otra_zona,304.1666666666667,275.0,331.6666666666667
5,30,Z3,Z1,otra_zona,221.66666666666666,199.14583333333331,245.83333333333334
5,30,Z3,Z2,otra_zona,249.16666666666666,220.0,280.8333333333333
5,30,Z3,Z3,refugio_oficial,2160.0,2091.6666666666665,2233.3333333333335
5,30,Z3,Z4,otra_zona,255.0,226.64583333333331,286.6666666666667
5,30,Z3,Z5,otra_zona,251.66666666666666,220.83333333333334,280.8541666666665
5,30,Z4,Z1,otra_zona,235.0,211.66666666666666,259.1666666666667
5,30,Z4,Z2,otra_zona,254.16666666666666,229.16666666666666,280.8333333333333
5,30,Z4,Z3,otra_zona,274.1666666666667,254.16666666666666,295.0
5,30,Z4,Z4,refugio_oficial,522.5,487.5,554.1874999999999
5,30,Z4,Z5,otra_zona,260.0,227.5,294.1666666666667
5,30,Z5,Z1,otra_zona,187.5,161.64583333333331,213.33333333333334
5,30,Z5,Z2,otra_zona,155.0,135.0,176.66666666666666
5,30,Z5,Z3,otra_zona,170.83333333333334,149.16666666666666,195.83333333333334
5,30,Z5,Z4,otra_zona,192.5,165.8125,220.85416666666657
5,30,Z5,Z5,refugio_oficial,2588.3333333333335,2490.8125,2681.6666666666665
6,36,Z1,Z1,refugio_oficial,1493.3333333333333,1436.6666666666667,1549.1666666666667
6,36,Z1,Z2,otra_zona,279.1666666666667,250.83333333333334,307.5
6,36,Z1,Z3,otra_zona,268.3333333333333,240.0,298.3333333333333
6,36,Z1,Z4,otra_zona,260.8333333333333,239.16666666666666,283.3333333333333
6,36,Z1,Z5,otra_zona,278.3333333333333,247.47916666666666,308.3333333333333
6,36,Z2,Z1,otra_zona,247.5,220.0,275.0
6,36,Z2,Z2,refugio_oficial,689.1666666666666,646.6666666666666,733.3333333333334
6,36,Z2,Z3,otra_zona,215.0,192.47916666666666,240.0
6,36,Z2,Z4,otra_zona,225.0,196.66666666666666,253.33333333333334
6,36,Z2,Z5,otra_zona,250.83333333333334,225.0,277.5
6,36,Z3,Z1,otra_zona,211.66666666666666,183.33333333333334,239.16666666666666
6,36,Z3,Z2,otra_zona,223.33333333333334,194.16666666666666,254.16666666666666
6,36,Z3,Z3,refugio_oficial,2006.6666666666667,1911.6458333333335,2103.3333333333335
6,36,Z3,Z4,otra_zona,207.5,182.5,234.16666666666666
6,36,Z3,Z5,otra_zona,226.66666666666666,200.0,254.16666666666666
6,36,Z4,Z1,otra_zona,218.33333333333334,190.0,246.66666666666666
6,36,Z4,Z2,otra_zona,245.0,223.33333333333334,269.1666666666667
6,36,Z4,Z3,otra_zona,205.0,176.66666666666666,233.33333333333334
6,36,Z4,Z4,refugio_oficial,446.6666666666667,415.0,479.1666666666667
6,36,Z4,Z5,otra_zona,175.83333333333334,157.5,196.66666666666666
6,36,Z5,Z1,otra_zona,172.5,148.3125,199.16666666666666
6,36,Z5,Z2,otra_zona,147.5,125.83333333333333,171.66666666666666
6,36,Z5,Z3,otra_zona,149.16666666666666,127.47916666666667,170.83333333333334
6,36,Z5,Z4,otra_zona,183.33333333333334,156.66666666666666,208.33333333333334
6,36,Z5,Z5,refugio_oficial,2390.0,2322.5,2458.3333333333335
7,42,Z1,Z1,refugio_oficial,1334.1666666666667,1264.1666666666667,1405.0
7,42,Z1,Z2,otra_zona,234.16666666666666,205.83333333333334,260.8333333333333
7,42,Z1,Z3,otra_zona,226.66666666666666,205.0,249.16666666666666
7,42,Z1,Z4,otra_zona,250.83333333333334,225.0,277.5
7,42,Z1,Z5,otra_zona,249.16666666666666,225.83333333333334,275.0
